epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.94658,1.78893,2.80897,2.05085,0.00333,1,0.06013,0.02219,1.70694,3.78315,2.72849,6e-05,6e-05,6e-05
2,20.3955,1.47507,2.59517,1.9067,0.00333,1,0.37189,0.10286,1.48572,3.59942,2.50357,0.00013538,0.00013538,0.00013538
3,30.7156,1.30905,2.45522,1.8823,0.00333,1,0.45067,0.19057,1.611,3.56257,2.44692,0.00020548,0.00020548,0.00020548
4,41.0863,1.33799,2.22299,1.86056,0.00333,1,0.46775,0.23668,1.53885,3.5132,2.50991,0.0002703,0.0002703,0.0002703
5,51.302,1.23492,1.9059,1.66337,0.00333,1,0.53727,0.22504,1.49479,3.66641,2.56434,0.00032984,0.00032984,0.00032984
6,61.2686,1.32986,1.91295,1.67726,0.00292,0.875,0.15555,0.04738,2.56467,3.9371,3.31298,0.0003841,0.0003841,0.0003841
7,71.3796,1.25343,1.65101,1.59425,0.00083,0.25,0.0026,0.00081,3.999,4.94572,4.80772,0.00043308,0.00043308,0.00043308
8,81.7086,1.23088,1.85141,1.64576,0.00042,0.125,0.00064,0.00031,4.37388,4.91325,5.30619,0.00047678,0.00047678,0.00047678
9,91.7584,1.31536,2.02318,1.68803,0.00083,0.25,0.0169,0.00169,4.35829,4.84854,5.31762,0.0005152,0.0005152,0.0005152
10,102.174,1.145,1.62165,1.60145,0.00125,0.375,0.09991,0.01336,3.85956,4.42083,4.81458,0.00054834,0.00054834,0.00054834
11,112.48,1.17512,1.75686,1.6445,0.00167,0.5,0.18515,0.02818,3.69829,4.11069,4.45123,0.0005762,0.0005762,0.0005762
12,123.211,1.30718,1.8024,1.68586,0.00208,0.625,0.37268,0.07217,3.31909,4.10071,4.25271,0.00059878,0.00059878,0.00059878
13,133.59,1.12191,1.59006,1.49366,0.06134,1,0.55671,0.178,1.94621,3.30088,3.04704,0.00061608,0.00061608,0.00061608
14,143.872,1.29921,1.69515,1.67337,0.56152,0.75,0.70494,0.36212,1.45142,2.80198,2.57345,0.0006281,0.0006281,0.0006281
15,154.353,1.22711,1.47866,1.58101,0.87737,0.89631,0.89833,0.49436,1.30455,2.56072,2.46313,0.00063484,0.00063484,0.00063484
16,164.308,1.16565,1.40514,1.55081,0.87737,0.89631,0.89833,0.49436,1.30455,2.56072,2.46313,0.0006363,0.0006363,0.0006363
17,175.05,1.08224,1.49886,1.47772,0.7935,0.96345,0.945,0.53923,1.55186,2.50216,2.70538,0.00063248,0.00063248,0.00063248
18,185.425,1.06574,1.32631,1.40822,0.85565,0.74215,0.76004,0.39792,1.59538,2.55157,2.6382,0.00062338,0.00062338,0.00062338
19,196.102,1.09551,1.38851,1.46772,0.85565,0.74215,0.76004,0.39792,1.59538,2.55157,2.6382,0.000609,0.000609,0.000609
20,206.937,1.3064,1.69163,1.70885,0.85225,0.72432,0.76754,0.4055,1.58199,2.58792,2.5022,0.00058934,0.00058934,0.00058934
21,217.246,1.08944,2.52954,1.72194,0.85726,0.875,0.95475,0.50327,1.65284,2.09946,2.65431,0.0005644,0.0005644,0.0005644
22,227.188,1.37719,2.69858,1.98103,0.85726,0.875,0.95475,0.50327,1.65284,2.09946,2.65431,0.00053418,0.00053418,0.00053418
23,237.308,1.28837,2.42777,1.94235,0.86492,0.875,0.93975,0.49205,1.70345,2.18032,2.91605,0.00049868,0.00049868,0.00049868
24,247.845,1.09191,2.14419,1.71526,0.86492,0.875,0.93975,0.49205,1.70345,2.18032,2.91605,0.0004579,0.0004579,0.0004579
25,258.607,0.98638,2.22368,1.61209,0.8864,0.9776,0.96722,0.45312,1.78958,2.30436,3.2204,0.00041184,0.00041184,0.00041184
26,268.43,1.14692,2.14442,1.77759,0.8864,0.9776,0.96722,0.45312,1.78958,2.30436,3.2204,0.00035,0.00035,0.00035
27,279.925,1.03264,2.18357,1.61126,0.95738,1,0.995,0.38135,1.91389,2.40123,3.44348,0.000284,0.000284,0.000284
28,290.483,0.93901,2.10103,1.66802,0.95738,1,0.995,0.38135,1.91389,2.40123,3.44348,0.000218,0.000218,0.000218
29,300.488,1.13247,2.22317,1.68265,0.98699,1,0.995,0.4319,1.83558,2.38812,3.29242,0.000152,0.000152,0.000152
30,310.89,1.0106,2.06289,1.62513,0.98699,1,0.995,0.4319,1.83558,2.38812,3.29242,8.6e-05,8.6e-05,8.6e-05
