epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.14561,2.53822,5.32656,3.55367,2.5335,0.00925,0.68389,0.0689,0.01541,0,0,0,0,2.62609,3.79504,3.0708,2.99894,0.00030006,0.00030006,0.00030006
2,3.73004,2.50805,4.11142,3.41854,2.41894,0.00903,0.70226,0.054,0.01481,0,0,0,0,2.61198,3.98906,2.96557,3.29625,0.000615263,0.000615263,0.000615263
3,5.28679,2.44494,3.62821,3.28696,2.40544,0.01017,0.71757,0.03627,0.00882,0,0,0,0,2.79759,4.03531,2.97397,3.31384,0.000928899,0.000928899,0.000928899
4,6.82733,2.49763,3.73785,3.2338,2.46338,0.0112,0.66705,0.01869,0.00483,0,0,0,0,2.83959,3.52027,3.21718,3.15198,0.00124097,0.00124097,0.00124097
5,8.3763,2.41375,3.71983,3.15226,2.41405,0.0706,0.1217,0.03012,0.00653,0,0,0,0,2.99695,3.2886,3.51062,3.68695,0.00155147,0.00155147,0.00155147
6,9.91353,2.41165,3.6305,3.19243,2.41078,0.11145,0.07692,0.06381,0.02093,0,0,0,0,2.61369,3.40194,3.03602,3.13921,0.00164637,0.00164637,0.00164637
7,11.4794,2.42332,3.70959,3.12992,2.41943,0.0733,0.199,0.04522,0.01385,0,0,0,0,2.74558,3.0646,2.79623,3.021,0.00164225,0.00164225,0.00164225
8,13.0806,2.32832,3.55156,3.0891,2.32885,0.05653,0.13337,0.02867,0.00779,0,0,0,0,2.86366,3.05753,3.06,3.05828,0.00163812,0.00163812,0.00163812
9,14.6229,2.36698,3.68175,3.13263,2.34916,0.06829,0.18542,0.04345,0.01171,0,0,0,0,2.81485,3.26676,3.20818,3.09971,0.00163399,0.00163399,0.00163399
10,16.1535,2.41461,3.69478,3.17193,2.36002,0.07802,0.3142,0.07108,0.02079,0,0,0,0,2.76993,3.20588,3.31701,3.15266,0.00162987,0.00162987,0.00162987
11,17.6931,2.34968,3.71784,3.02423,2.29212,0.07371,0.41753,0.08358,0.0236,0,0,0,0,2.61427,2.98766,4.5761,3.02424,0.00162574,0.00162574,0.00162574
12,19.2597,2.39157,3.65583,2.99866,2.39851,0.55067,0.07692,0.04666,0.01192,0,0,0,0,2.61515,3.08051,3.53735,2.93835,0.00162162,0.00162162,0.00162162
13,20.7974,2.25074,3.66253,2.97106,2.29693,0.58069,0.08974,0.05123,0.01481,0,0,0,0,2.47497,3.03707,3.48758,2.92232,0.00161749,0.00161749,0.00161749
14,22.3245,2.22421,3.64027,2.95557,2.26263,0.10189,0.31171,0.0765,0.02116,7e-05,0.00249,2e-05,0,2.52042,3.02478,3.15377,2.87466,0.00161336,0.00161336,0.00161336
15,23.8494,2.24581,3.63339,2.97259,2.24619,0.06609,0.21527,0.05565,0.01485,5e-05,0.00249,2e-05,0,2.64452,3.01676,2.82107,2.88309,0.00160924,0.00160924,0.00160924
16,25.3782,2.23688,3.5682,2.90372,2.25804,0.09676,0.26617,0.08248,0.02327,5e-05,0.00249,3e-05,0,2.53787,2.97089,2.73393,2.79521,0.00160511,0.00160511,0.00160511
17,26.9262,2.24281,3.57718,2.89259,2.24601,0.12046,0.36586,0.10248,0.03003,0.00011,0.00498,6e-05,1e-05,2.52732,3.05726,2.77506,2.83351,0.00160099,0.00160099,0.00160099
18,28.5274,2.23262,3.5418,2.97006,2.25661,0.15564,0.32931,0.13378,0.03943,0.00012,0.00498,6e-05,1e-05,2.45708,3.17417,2.60095,2.68677,0.00159686,0.00159686,0.00159686
19,30.045,2.17578,3.5672,2.84462,2.21215,0.16188,0.30654,0.15251,0.05169,0.00013,0.00498,7e-05,1e-05,2.42562,2.96618,2.55422,2.63418,0.00159274,0.00159274,0.00159274
20,31.5742,2.17164,3.52735,2.90647,2.25439,0.1439,0.33065,0.15078,0.04393,6e-05,0.00249,3e-05,0,2.3525,2.91618,2.44168,2.60963,0.00158861,0.00158861,0.00158861
21,33.0898,2.07339,3.52369,2.80857,2.17203,0.13377,0.41389,0.16566,0.06345,0.00147,0.00249,0.00025,5e-05,2.26641,2.88641,2.45382,2.54824,0.00158448,0.00158448,0.00158448
22,34.6162,2.11889,3.61496,2.9867,2.20027,0.64597,0.14103,0.19752,0.0695,5e-05,0.00249,3e-05,1e-05,2.25792,2.97526,2.48321,2.65682,0.00158036,0.00158036,0.00158036
23,36.1537,2.11634,3.54426,2.80301,2.19234,0.22529,0.2671,0.17117,0.04749,7e-05,0.01282,4e-05,0,2.57484,3.30305,2.55805,2.84148,0.00157623,0.00157623,0.00157623
24,37.6812,2.13058,3.48986,2.72261,2.23441,0.19773,0.36299,0.1415,0.04998,0.00014,0.00746,8e-05,1e-05,2.43992,3.06588,2.39355,2.69431,0.00157211,0.00157211,0.00157211
25,39.2115,2.09896,3.57623,2.78306,2.17295,0.1743,0.30712,0.15526,0.05173,9e-05,0.00498,5e-05,1e-05,2.31659,2.99157,2.45398,2.66242,0.00156798,0.00156798,0.00156798
26,40.7351,2.10731,3.55621,2.76649,2.20696,0.14307,0.28894,0.14436,0.04249,5e-05,0.00249,3e-05,1e-05,2.20487,2.9912,2.54103,2.56927,0.00156385,0.00156385,0.00156385
27,42.2599,2.10218,3.54071,2.73194,2.16988,0.28942,0.17643,0.1519,0.04938,8e-05,0.00498,4e-05,1e-05,2.29131,2.95908,2.72202,2.70303,0.00155973,0.00155973,0.00155973
28,43.8024,2.11002,3.52002,2.66677,2.16929,0.21029,0.25201,0.1277,0.03868,0.00032,0.00249,7e-05,1e-05,2.31416,2.86293,2.69667,2.63226,0.0015556,0.0015556,0.0015556
29,45.3969,2.13808,3.5063,2.74785,2.12819,0.15188,0.22884,0.14337,0.05999,0.00013,0.00498,7e-05,1e-05,2.25694,2.93268,2.48571,2.5839,0.00155148,0.00155148,0.00155148
30,46.9388,2.0933,3.46594,2.61752,2.14234,0.14373,0.33065,0.1287,0.03863,7e-05,0.00249,3e-05,0,2.29874,2.95556,2.76427,2.56931,0.00154735,0.00154735,0.00154735
31,48.4726,2.07188,3.45585,2.65146,2.11443,0.13707,0.33238,0.13878,0.04497,0,0,0,0,2.41606,2.99149,2.52129,2.72726,0.00154323,0.00154323,0.00154323
32,49.9956,2.00321,3.49173,2.64826,2.08065,0.17462,0.20819,0.14687,0.05815,0,0,0,0,2.33182,2.9353,2.48111,2.63081,0.0015391,0.0015391,0.0015391
33,51.5196,1.98537,3.37275,2.59673,2.07787,0.20908,0.32289,0.1683,0.05819,0.001,0.00249,0.00017,3e-05,2.27811,2.94879,2.32856,2.49047,0.00153497,0.00153497,0.00153497
34,53.0212,2.05284,3.43528,2.67118,2.12703,0.18514,0.33199,0.14061,0.04817,0.00078,0.00498,9e-05,2e-05,2.33632,2.90649,2.37105,2.65356,0.00153085,0.00153085,0.00153085
35,54.5381,2.01533,3.62783,2.58488,2.0654,0.15899,0.32205,0.15069,0.05154,0.00011,0.00498,6e-05,2e-05,2.30843,3.1592,2.50692,2.72328,0.00152672,0.00152672,0.00152672
36,56.0658,2.01977,3.55009,2.6525,2.1284,0.13886,0.31037,0.16126,0.04805,6e-05,0.00249,3e-05,1e-05,2.4526,3.23338,2.7383,2.90061,0.0015226,0.0015226,0.0015226
37,57.5877,2.01721,3.54321,2.6045,2.09836,0.224,0.22631,0.18376,0.06213,7e-05,0.00249,3e-05,1e-05,2.3551,3.05004,2.6511,2.6574,0.00151847,0.00151847,0.00151847
38,59.1893,2.00923,3.53099,2.60814,2.12054,0.24389,0.19211,0.17647,0.06054,0.0001,0.00498,5e-05,1e-05,2.26961,2.92197,2.43422,2.54507,0.00151434,0.00151434,0.00151434
39,60.6861,2.0036,3.29302,2.64964,2.09675,0.36923,0.14055,0.18892,0.07671,0.00013,0.00249,6e-05,1e-05,2.36216,3.23266,2.75697,2.68177,0.00151022,0.00151022,0.00151022
40,62.1855,2.06529,3.51361,2.6677,2.12649,0.20076,0.30253,0.19038,0.06888,0,0,0,0,2.27104,3.08548,2.63523,2.59337,0.00150609,0.00150609,0.00150609
41,63.704,1.97108,3.45942,2.56175,2.07188,0.21922,0.28109,0.20299,0.08498,0.00045,0.00249,6e-05,2e-05,2.11341,2.87807,2.27981,2.39384,0.00150197,0.00150197,0.00150197
42,65.2144,1.95537,3.48587,2.58003,2.04296,0.19475,0.33812,0.19728,0.07981,0.00096,0.00498,7e-05,2e-05,2.19062,2.947,2.28072,2.45726,0.00149784,0.00149784,0.00149784
43,66.7219,1.95495,3.49849,2.65489,2.03374,0.21638,0.32032,0.21266,0.07873,0.00101,0.00498,0.00014,3e-05,2.24843,2.92448,2.36228,2.45982,0.00149372,0.00149372,0.00149372
44,68.2406,2.00727,3.37832,2.52279,2.03774,0.22548,0.301,0.18892,0.0682,0.00109,0.00498,8e-05,2e-05,2.18862,2.915,2.38167,2.39653,0.00148959,0.00148959,0.00148959
45,69.7397,1.95052,3.46673,2.51885,1.99914,0.25761,0.28722,0.22393,0.07077,7e-05,0.00249,4e-05,1e-05,2.15444,2.9485,2.47276,2.39321,0.00148546,0.00148546,0.00148546
46,71.2394,1.88608,3.476,2.46826,1.9656,0.25326,0.32285,0.21207,0.07349,6e-05,0.00249,4e-05,1e-05,2.17437,3.05271,2.40355,2.43987,0.00148134,0.00148134,0.00148134
47,72.7467,2.02654,3.41294,2.53809,2.08875,0.17116,0.19913,0.14057,0.04967,0.0004,0.00249,5e-05,0,2.2724,3.10171,2.46017,2.53065,0.00147721,0.00147721,0.00147721
48,74.3154,2.00013,3.47694,2.5207,2.02787,0.21919,0.26827,0.16857,0.05697,0.00047,0.00249,0.00012,2e-05,2.26613,3.02595,2.3959,2.53145,0.00147309,0.00147309,0.00147309
49,75.8174,1.95561,3.38722,2.51186,1.9979,0.58041,0.07692,0.11512,0.0463,0,0,0,0,2.46056,3.25223,2.9959,2.73178,0.00146896,0.00146896,0.00146896
50,77.3423,1.94539,3.54549,2.57766,2.03624,0.21252,0.25455,0.17785,0.07247,5e-05,0.00249,3e-05,1e-05,2.05342,2.96398,2.32865,2.36752,0.00146483,0.00146483,0.00146483
51,78.8627,1.87926,3.43569,2.53186,1.94527,0.26314,0.30794,0.2363,0.09363,0.05755,0.00249,0.00058,0.00022,2.09851,2.93723,2.26009,2.36448,0.00146071,0.00146071,0.00146071
52,80.4071,1.88932,3.43595,2.42562,1.97318,0.26057,0.28511,0.22346,0.08813,0.12927,0.00249,0.00131,0.00039,2.08794,2.89277,2.30248,2.35879,0.00145658,0.00145658,0.00145658
53,81.9138,1.87433,3.42261,2.42829,1.98666,0.23079,0.33486,0.19565,0.07635,0.01797,0.00249,0.00029,9e-05,2.09382,2.92031,2.30831,2.39576,0.00145246,0.00145246,0.00145246
54,83.4259,1.89162,3.48496,2.47506,1.984,0.2321,0.20768,0.13935,0.05452,0.00061,0.00249,0.00014,2e-05,2.16788,3.01584,2.52417,2.57235,0.00144833,0.00144833,0.00144833
55,84.9401,1.8564,3.42734,2.44957,1.94577,0.24364,0.26292,0.16861,0.06544,0.00332,0.00249,9e-05,2e-05,2.12698,2.87201,2.40261,2.47666,0.00144421,0.00144421,0.00144421
